query_id	corpus_id	relevance
JDDC-PROJECT-0001	jddc-test-3148	1
JDDC-PROJECT-0001	jddc-test-3154	1
JDDC-PROJECT-0001	jddc-test-3156	1
JDDC-PROJECT-0001	jddc-test-3162	1
JDDC-PROJECT-0001	jddc-test-3169	1
JDDC-PROJECT-0001	jddc-test-3170	1
JDDC-PROJECT-0001	jddc-test-3171	1
JDDC-PROJECT-0001	jddc-test-3172	1
JDDC-PROJECT-0001	jddc-test-3174	1
JDDC-PROJECT-0001	jddc-test-3175	1
JDDC-PROJECT-0001	jddc-test-3177	1
JDDC-PROJECT-0001	jddc-test-3178	1
JDDC-PROJECT-0001	jddc-test-3179	1
JDDC-PROJECT-0001	jddc-test-6704	1
JDDC-PROJECT-0001	jddc-test-6705	1
JDDC-PROJECT-0001	jddc-test-6706	1
JDDC-PROJECT-0001	jddc-test-6707	1
JDDC-PROJECT-0001	jddc-test-6709	1
JDDC-PROJECT-0001	jddc-test-6710	1
JDDC-PROJECT-0001	jddc-test-6712	1
JDDC-PROJECT-0001	jddc-test-6713	1
JDDC-PROJECT-0001	jddc-test-6714	1
JDDC-PROJECT-0001	jddc-test-6715	1
JDDC-PROJECT-0001	jddc-test-6716	1
JDDC-PROJECT-0001	jddc-test-6717	1
JDDC-PROJECT-0001	jddc-test-6718	1
JDDC-PROJECT-0001	jddc-test-6719	1
JDDC-PROJECT-0001	jddc-test-6720	1
JDDC-PROJECT-0002	jddc-dev-542	1
JDDC-PROJECT-0002	jddc-dev-543	1
JDDC-PROJECT-0002	jddc-dev-544	1
JDDC-PROJECT-0002	jddc-dev-546	1
JDDC-PROJECT-0002	jddc-dev-547	1
JDDC-PROJECT-0002	jddc-dev-550	1
JDDC-PROJECT-0002	jddc-dev-552	1
JDDC-PROJECT-0002	jddc-dev-553	1
JDDC-PROJECT-0002	jddc-dev-554	1
JDDC-PROJECT-0002	jddc-dev-555	1
JDDC-PROJECT-0002	jddc-dev-556	1
JDDC-PROJECT-0002	jddc-dev-557	1
JDDC-PROJECT-0002	jddc-dev-559	1
JDDC-PROJECT-0002	jddc-dev-560	1
JDDC-PROJECT-0002	jddc-dev-561	1
JDDC-PROJECT-0002	jddc-dev-562	1
JDDC-PROJECT-0002	jddc-dev-563	1
JDDC-PROJECT-0002	jddc-dev-1542	1
JDDC-PROJECT-0002	jddc-dev-1544	1
JDDC-PROJECT-0002	jddc-dev-1545	1
JDDC-PROJECT-0002	jddc-dev-1546	1
JDDC-PROJECT-0002	jddc-dev-1547	1
JDDC-PROJECT-0002	jddc-dev-1548	1
JDDC-PROJECT-0002	jddc-dev-1550	1
JDDC-PROJECT-0002	jddc-dev-1551	1
JDDC-PROJECT-0002	jddc-dev-1552	1
JDDC-PROJECT-0002	jddc-dev-1553	1
JDDC-PROJECT-0002	jddc-dev-1554	1
JDDC-PROJECT-0002	jddc-dev-1555	1
JDDC-PROJECT-0002	jddc-dev-1556	1
JDDC-PROJECT-0003	jddc-test-3076	1
JDDC-PROJECT-0003	jddc-test-3080	1
JDDC-PROJECT-0003	jddc-test-3083	1
JDDC-PROJECT-0003	jddc-test-3087	1
JDDC-PROJECT-0003	jddc-test-3088	1
JDDC-PROJECT-0003	jddc-test-3089	1
JDDC-PROJECT-0003	jddc-test-3090	1
JDDC-PROJECT-0003	jddc-test-3095	1
JDDC-PROJECT-0003	jddc-test-3096	1
JDDC-PROJECT-0003	jddc-test-3097	1
JDDC-PROJECT-0003	jddc-test-3098	1
JDDC-PROJECT-0003	jddc-test-3099	1
JDDC-PROJECT-0003	jddc-test-3100	1
JDDC-PROJECT-0003	jddc-test-3102	1
JDDC-PROJECT-0003	jddc-test-3103	1
JDDC-PROJECT-0003	jddc-test-3105	1
JDDC-PROJECT-0003	jddc-test-3108	1
JDDC-PROJECT-0003	jddc-test-3109	1
JDDC-PROJECT-0003	jddc-test-6673	1
JDDC-PROJECT-0003	jddc-test-6675	1
JDDC-PROJECT-0003	jddc-test-6676	1
JDDC-PROJECT-0003	jddc-test-6677	1
JDDC-PROJECT-0003	jddc-test-6678	1
JDDC-PROJECT-0003	jddc-test-6681	1
JDDC-PROJECT-0003	jddc-test-6682	1
JDDC-PROJECT-0003	jddc-test-6684	1
JDDC-PROJECT-0003	jddc-test-6687	1
JDDC-PROJECT-0004	jddc-test-3185	1
JDDC-PROJECT-0004	jddc-test-3186	1
JDDC-PROJECT-0004	jddc-test-3189	1
JDDC-PROJECT-0004	jddc-test-3192	1
JDDC-PROJECT-0004	jddc-test-3193	1
JDDC-PROJECT-0004	jddc-test-3196	1
JDDC-PROJECT-0004	jddc-test-3197	1
JDDC-PROJECT-0004	jddc-test-3202	1
JDDC-PROJECT-0004	jddc-test-3204	1
JDDC-PROJECT-0004	jddc-test-3205	1
JDDC-PROJECT-0004	jddc-test-3206	1
JDDC-PROJECT-0004	jddc-test-3208	1
JDDC-PROJECT-0004	jddc-test-3211	1
JDDC-PROJECT-0004	jddc-test-3215	1
JDDC-PROJECT-0004	jddc-test-6725	1
JDDC-PROJECT-0004	jddc-test-6726	1
JDDC-PROJECT-0004	jddc-test-6727	1
JDDC-PROJECT-0004	jddc-test-6728	1
JDDC-PROJECT-0004	jddc-test-6729	1
JDDC-PROJECT-0004	jddc-test-6730	1
JDDC-PROJECT-0004	jddc-test-6731	1
JDDC-PROJECT-0004	jddc-test-6733	1
JDDC-PROJECT-0004	jddc-test-6734	1
JDDC-PROJECT-0004	jddc-test-6735	1
JDDC-PROJECT-0004	jddc-test-6737	1
JDDC-PROJECT-0004	jddc-test-6739	1
JDDC-PROJECT-0004	jddc-test-6740	1
JDDC-PROJECT-0004	jddc-test-6741	1
JDDC-PROJECT-0004	jddc-test-6742	1
JDDC-PROJECT-0004	jddc-test-6743	1
JDDC-PROJECT-0005	jddc-test-3217	1
JDDC-PROJECT-0005	jddc-test-3218	1
JDDC-PROJECT-0005	jddc-test-3219	1
JDDC-PROJECT-0005	jddc-test-3223	1
JDDC-PROJECT-0005	jddc-test-3225	1
JDDC-PROJECT-0005	jddc-test-3226	1
JDDC-PROJECT-0005	jddc-test-3228	1
JDDC-PROJECT-0005	jddc-test-3232	1
JDDC-PROJECT-0005	jddc-test-3236	1
JDDC-PROJECT-0005	jddc-test-3237	1
JDDC-PROJECT-0005	jddc-test-3238	1
JDDC-PROJECT-0005	jddc-test-3239	1
JDDC-PROJECT-0005	jddc-test-3241	1
JDDC-PROJECT-0005	jddc-test-3243	1
JDDC-PROJECT-0005	jddc-test-3244	1
JDDC-PROJECT-0005	jddc-test-3248	1
JDDC-PROJECT-0005	jddc-test-6744	1
JDDC-PROJECT-0005	jddc-test-6746	1
JDDC-PROJECT-0005	jddc-test-6747	1
JDDC-PROJECT-0005	jddc-test-6749	1
JDDC-PROJECT-0005	jddc-test-6750	1
JDDC-PROJECT-0005	jddc-test-6752	1
JDDC-PROJECT-0005	jddc-test-6753	1
JDDC-PROJECT-0005	jddc-test-6754	1
JDDC-PROJECT-0005	jddc-test-6755	1
JDDC-PROJECT-0005	jddc-test-6757	1
JDDC-PROJECT-0005	jddc-test-6759	1
JDDC-PROJECT-0005	jddc-test-6760	1
JDDC-PROJECT-0005	jddc-test-6761	1
JDDC-PROJECT-0006	jddc-dev-592	1
JDDC-PROJECT-0006	jddc-dev-593	1
JDDC-PROJECT-0006	jddc-dev-594	1
JDDC-PROJECT-0006	jddc-dev-595	1
JDDC-PROJECT-0006	jddc-dev-597	1
