query_id	corpus_id
JDDC-PROJECT-0001	jddc-test-539
JDDC-PROJECT-0001	jddc-test-1009
JDDC-PROJECT-0001	jddc-test-1089
JDDC-PROJECT-0001	jddc-test-1207
JDDC-PROJECT-0001	jddc-test-1208
JDDC-PROJECT-0001	jddc-test-1211
JDDC-PROJECT-0001	jddc-test-1214
JDDC-PROJECT-0001	jddc-test-1221
JDDC-PROJECT-0001	jddc-test-1223
JDDC-PROJECT-0001	jddc-test-1226
JDDC-PROJECT-0001	jddc-test-1228
JDDC-PROJECT-0001	jddc-test-1416
JDDC-PROJECT-0001	jddc-test-1428
JDDC-PROJECT-0001	jddc-test-1431
JDDC-PROJECT-0001	jddc-test-1599
JDDC-PROJECT-0001	jddc-test-1781
JDDC-PROJECT-0001	jddc-test-2062
JDDC-PROJECT-0001	jddc-test-2078
JDDC-PROJECT-0001	jddc-test-2974
JDDC-PROJECT-0001	jddc-test-2975
JDDC-PROJECT-0001	jddc-test-3315
JDDC-PROJECT-0001	jddc-test-3791
JDDC-PROJECT-0001	jddc-test-3819
JDDC-PROJECT-0001	jddc-test-4697
JDDC-PROJECT-0001	jddc-test-4700
JDDC-PROJECT-0001	jddc-test-4707
JDDC-PROJECT-0001	jddc-test-4710
JDDC-PROJECT-0001	jddc-test-4795
JDDC-PROJECT-0001	jddc-test-4893
JDDC-PROJECT-0001	jddc-test-5012
JDDC-PROJECT-0001	jddc-test-5037
JDDC-PROJECT-0001	jddc-test-5510
JDDC-PROJECT-0001	jddc-test-5859
JDDC-PROJECT-0001	jddc-test-5860
JDDC-PROJECT-0001	jddc-test-5862
JDDC-PROJECT-0001	jddc-test-5870
JDDC-PROJECT-0001	jddc-test-6585
JDDC-PROJECT-0002	jddc-dev-33
JDDC-PROJECT-0002	jddc-dev-86
JDDC-PROJECT-0002	jddc-dev-144
JDDC-PROJECT-0002	jddc-dev-207
JDDC-PROJECT-0002	jddc-dev-217
JDDC-PROJECT-0002	jddc-dev-228
JDDC-PROJECT-0002	jddc-dev-334
JDDC-PROJECT-0002	jddc-dev-341
JDDC-PROJECT-0002	jddc-dev-387
JDDC-PROJECT-0002	jddc-dev-429
JDDC-PROJECT-0002	jddc-dev-444
JDDC-PROJECT-0002	jddc-dev-519
JDDC-PROJECT-0002	jddc-dev-601
JDDC-PROJECT-0002	jddc-dev-618
JDDC-PROJECT-0002	jddc-dev-745
JDDC-PROJECT-0002	jddc-dev-754
JDDC-PROJECT-0002	jddc-dev-773
JDDC-PROJECT-0002	jddc-dev-780
JDDC-PROJECT-0002	jddc-dev-803
JDDC-PROJECT-0002	jddc-dev-820
JDDC-PROJECT-0002	jddc-dev-1022
JDDC-PROJECT-0002	jddc-dev-1056
JDDC-PROJECT-0002	jddc-dev-1064
JDDC-PROJECT-0002	jddc-dev-1114
JDDC-PROJECT-0002	jddc-dev-1248
JDDC-PROJECT-0002	jddc-dev-1250
JDDC-PROJECT-0002	jddc-dev-1275
JDDC-PROJECT-0002	jddc-dev-1282
JDDC-PROJECT-0002	jddc-dev-1285
JDDC-PROJECT-0002	jddc-dev-1293
JDDC-PROJECT-0002	jddc-dev-1310
JDDC-PROJECT-0002	jddc-dev-1378
JDDC-PROJECT-0002	jddc-dev-1659
JDDC-PROJECT-0002	jddc-dev-1728
JDDC-PROJECT-0002	jddc-dev-1730
JDDC-PROJECT-0002	jddc-dev-1745
JDDC-PROJECT-0002	jddc-dev-1773
JDDC-PROJECT-0002	jddc-dev-1816
JDDC-PROJECT-0002	jddc-dev-1923
JDDC-PROJECT-0002	jddc-dev-1958
JDDC-PROJECT-0003	jddc-test-156
JDDC-PROJECT-0003	jddc-test-353
JDDC-PROJECT-0003	jddc-test-362
JDDC-PROJECT-0003	jddc-test-457
JDDC-PROJECT-0003	jddc-test-459
JDDC-PROJECT-0003	jddc-test-472
JDDC-PROJECT-0003	jddc-test-517
JDDC-PROJECT-0003	jddc-test-537
JDDC-PROJECT-0003	jddc-test-568
JDDC-PROJECT-0003	jddc-test-661
JDDC-PROJECT-0003	jddc-test-667
JDDC-PROJECT-0003	jddc-test-682
JDDC-PROJECT-0003	jddc-test-684
JDDC-PROJECT-0003	jddc-test-882
JDDC-PROJECT-0003	jddc-test-1447
JDDC-PROJECT-0003	jddc-test-1531
JDDC-PROJECT-0003	jddc-test-1966
JDDC-PROJECT-0003	jddc-test-2341
JDDC-PROJECT-0003	jddc-test-2373
JDDC-PROJECT-0003	jddc-test-2491
JDDC-PROJECT-0003	jddc-test-2606
JDDC-PROJECT-0003	jddc-test-2881
JDDC-PROJECT-0003	jddc-test-2960
JDDC-PROJECT-0003	jddc-test-2963
JDDC-PROJECT-0003	jddc-test-3047
JDDC-PROJECT-0003	jddc-test-3509
JDDC-PROJECT-0003	jddc-test-3543
JDDC-PROJECT-0003	jddc-test-3557
JDDC-PROJECT-0003	jddc-test-3760
JDDC-PROJECT-0003	jddc-test-4212
JDDC-PROJECT-0003	jddc-test-4228
JDDC-PROJECT-0003	jddc-test-4233
JDDC-PROJECT-0003	jddc-test-4753
